Name,Songs,Artists
Jazz,"https://www.notion.so/Come-Fly-With-Me-dbb250ab73354ce99c088515161ee591, https://www.notion.so/I-ve-Got-You-Under-My-Skin-e7c115511589461cb019d2b82f503a55, https://www.notion.so/If-You-Are-But-A-Dream-94629f23fbf94c8086383bd84a8ef8e4, https://www.notion.so/B-same-mucho-b7e95ce988c54040af5b11e5301ef745, https://www.notion.so/Adventure-Of-A-Lifetime-cac450675b65453a814d5d84dc213cc2, https://www.notion.so/Bossa-Antigua-69ddd164bca8444fbcf9ac363fe1c744, https://www.notion.so/Yet-another-dream-6ecc5edba8e649a0b3c783c115414b35, https://www.notion.so/Stompin-At-The-Savoy-9b2d276585b84e56a1a90668cc40ac2b, https://www.notion.so/Mood-Indigo-4e35be33dbc54331948d0d070638be7a, https://www.notion.so/All-of-Me-99ac60eaf6ed495386a15c8769ce5340, https://www.notion.so/At-Last-375a181b2b5742388b9aab314edcb163, https://www.notion.so/I-Just-Want-To-Sing-0a14bf9db6f249da9237af9d27a06869, https://www.notion.so/House-of-Jade-ddca3e2b71784a70bbd679bdc9e4c800, https://www.notion.so/Moonglow-7e6775fda17e4ee8a0f8b689592c6089, https://www.notion.so/Whispering-c9aadd4bc4cf41e8b7713c2ea407c1f1, https://www.notion.so/Runni-n-Wild-d6eb64f2b53642e48efb1e2b3883109b, https://www.notion.so/Old-Folks-6bc8642180b04fc49e4fe98c4476ea32, https://www.notion.so/Isfahan-5046e64dedac489f852eddb31ba05671, https://www.notion.so/Take-the-A-Train-95b9384dfdda44aa96e3c9eca32e5f61, https://www.notion.so/Stardust-3d6f1a6fdae74f368d62996c078c103d, https://www.notion.so/Dream-A-Little-Dream-Of-Me-dea39ae279294a90be16a5abd371c93d, https://www.notion.so/Under-A-Blanket-Of-Blue-4b2ead4599f644cba3d14d387bab1edc, https://www.notion.so/I-m-Waiting-For-You-ef5e30aba3b442a2b26c66394d8cf3f6, https://www.notion.so/Street-Fighter-Mas-24f9d2ce18ab41ea826d633df99ba2b7, https://www.notion.so/Cross-The-Track-5314f8168b7e44269fea9ab35b6ccf05, https://www.notion.so/Children-s-World-fbe63ccf8492436bb3a6c068f0ee237c, https://www.notion.so/Chicken-2cb9f783407843d4b69901980dcd3389, https://www.notion.so/Up-Down-East-Street-1050bd9414f34a9d9b1b1c9be708081a, https://www.notion.so/Just-the-Two-of-Us-83af33bbc70643a9bfb710b302758c9f",https://www.notion.so/Frank-Sinatra-3b64e33c36d5424b863ce4d03849e2e6
Swing,https://www.notion.so/I-ve-Got-You-Under-My-Skin-e7c115511589461cb019d2b82f503a55,https://www.notion.so/Frank-Sinatra-3b64e33c36d5424b863ce4d03849e2e6
Pop,"https://www.notion.so/Fly-Me-To-The-Moon-f5cd884c002a4c3aa533f5e9944982b2, https://www.notion.so/I-ve-Got-You-Under-My-Skin-e7c115511589461cb019d2b82f503a55, https://www.notion.so/My-Way-cc76a41f7fb14c96b742e498b3711f0d, https://www.notion.so/The-Way-You-Look-Tonight-796304f5810d4beb995747c4291a4db1, https://www.notion.so/At-Last-375a181b2b5742388b9aab314edcb163",https://www.notion.so/Frank-Sinatra-3b64e33c36d5424b863ce4d03849e2e6
Rock,https://www.notion.so/At-Last-375a181b2b5742388b9aab314edcb163,
Rap,,
Blues,"https://www.notion.so/At-Last-375a181b2b5742388b9aab314edcb163, https://www.notion.so/I-Just-Want-to-Make-Love-to-You-3e57db98c2a0477cb410e8899d541ffb",
R&B,"https://www.notion.so/At-Last-375a181b2b5742388b9aab314edcb163, https://www.notion.so/Peace-Fugue-0284c40837f14df28ca078a95984ee61, https://www.notion.so/Just-the-Two-of-Us-83af33bbc70643a9bfb710b302758c9f, https://www.notion.so/Uptown-Up-b8ec9a446f5d4d13ac434589a2291749",
Classical,,
Soul,"https://www.notion.so/At-Last-375a181b2b5742388b9aab314edcb163, https://www.notion.so/Cross-The-Track-5314f8168b7e44269fea9ab35b6ccf05, https://www.notion.so/Peace-Fugue-0284c40837f14df28ca078a95984ee61, https://www.notion.so/Just-the-Two-of-Us-83af33bbc70643a9bfb710b302758c9f, https://www.notion.so/Uptown-Up-b8ec9a446f5d4d13ac434589a2291749, https://www.notion.so/Superstition-ac8ec690d2a44c5b874536afb2db4988, https://www.notion.so/Isn-t-She-Lovely-558f40753d674525aaae1fd3ff928a1a, https://www.notion.so/You-Are-The-Sunshine-Of-My-Life-fed239ebf65d471282f7a87da665dc89, https://www.notion.so/Sexual-Healing-429496681af84c8896a0469efafed3bf, https://www.notion.so/Let-s-Get-It-On-035f42709f6e460ebe9e47e448425c52, https://www.notion.so/What-s-Going-On-e5dcab6eac124e18b69f9a91ec8de4df",
Reggae,,
Disco,,
Dance,,
House,,
EDM,,
Indie Rock,,
Vocals,"https://www.notion.so/Strangers-In-The-Night-aa242405facf4d5fa01c29e10a9f6dc8, https://www.notion.so/If-You-Are-But-A-Dream-94629f23fbf94c8086383bd84a8ef8e4, https://www.notion.so/Saturday-Night-Is-The-Loneliest-Night-Of-The-Week-1a4c43ad3930482b93d31896b20c161a",
Ballad,https://www.notion.so/Saturday-Night-Is-The-Loneliest-Night-Of-The-Week-1a4c43ad3930482b93d31896b20c161a,
Instrumental,"https://www.notion.so/House-of-Jade-ddca3e2b71784a70bbd679bdc9e4c800, https://www.notion.so/Moonglow-7e6775fda17e4ee8a0f8b689592c6089, https://www.notion.so/Whispering-c9aadd4bc4cf41e8b7713c2ea407c1f1, https://www.notion.so/Runni-n-Wild-d6eb64f2b53642e48efb1e2b3883109b, https://www.notion.so/Old-Folks-6bc8642180b04fc49e4fe98c4476ea32, https://www.notion.so/Isfahan-5046e64dedac489f852eddb31ba05671, https://www.notion.so/Take-the-A-Train-95b9384dfdda44aa96e3c9eca32e5f61, https://www.notion.so/Stardust-3d6f1a6fdae74f368d62996c078c103d, https://www.notion.so/I-m-Waiting-For-You-ef5e30aba3b442a2b26c66394d8cf3f6, https://www.notion.so/Street-Fighter-Mas-24f9d2ce18ab41ea826d633df99ba2b7, https://www.notion.so/Children-s-World-fbe63ccf8492436bb3a6c068f0ee237c, https://www.notion.so/Up-Down-East-Street-1050bd9414f34a9d9b1b1c9be708081a",
Funk,https://www.notion.so/Cross-The-Track-5314f8168b7e44269fea9ab35b6ccf05,